State,Abbreviation,Primary,date
Alabama,AL,open,March 3
Alaska,AK,semi-closed,April 4
Arizona,AZ,semi-closed,March 17
Arkansas,AR,open,March 3
California,CA,TBD,March 3
Colorado,CO,semi-closed,March 3
Connecticut,CN,semi-closed,April 28
Delaware,DE,closed,April 28
Florida,FL,closed,March 17
Georgia,GA,open,March 24
Hawaii,HI,open,April 4
Idaho,ID,semi-closed,March 10
Illinois,IL,semi-open,March 17
Indiana,IN,semi-open,May 5
Iowa,IO,semi-open,Feb 3
Kansas,KA,semi-closed,May 2
Kentucky,KY,closed,
Louisiana,LA,TBD,April 4
Maine,ME,semi-closed,March 3
Maryland,MD,closed,April 28
Massachussetts,MA,semi-closed,March 3
Michigan,MI,TBD,March 10
Minnesota,MN,open,March 3
Mississippi,MS,open,March 10
Missouri,MO,open,March 10
Montana,MT,open,June 2
Nebraska,NB,TBD,May 12
Nevada,NA,closed,Feb 22
New Jersey,NJ,semi-closed,June 2
New Hampshire,NH,semi-closed,Feb 11
New Mexico,NM,closed,June 2
New York,NY,closed,April 28
North Carolina,NC,semi-closed,March 3
North Dakota,ND,open,March 10
Ohio,OH,semi-open,March 17
Oklahoma,OK,semi-closed,March 3
Oregon,OR,closed,May 19
Pennsylvania,PA,closed,April 28
Rhode Island,RI,semi-closed,April 28
South Carolina,SC,semi-closed,February 29
South Dakota,SD,open,June 2
Tennesse,TN,semi-open,March 3
Texas,TX,open,March 3
Utah,UT,semi-closed,March 3
Vermont,VT,open,March 3
Virginia,VA,open,March 3
Washington,WA,TBD,March 10
West Virginia,WV,semi-closed,May 12
Wisconsin,WI,open,April 7
Wyoming,WY,semi-open,April 4